simulation_id,point_id,class,date,lat,lon
sim_01,sim_01_negative_001,negative,2024-12-22,40.047441,-84.514648
sim_01,sim_01_negative_002,negative,2024-12-23,40.635038,-84.746342
sim_01,sim_01_negative_003,negative,2024-12-24,40.652682,-84.648042
sim_01,sim_01_negative_004,negative,2024-12-25,40.32326,-84.568782
sim_01,sim_01_negative_005,negative,2024-12-25,40.02373,-84.520474
sim_01,sim_01_negative_006,negative,2024-12-27,39.919418,-84.502064
sim_01,sim_01_negative_007,negative,2024-12-28,39.799134,-84.382604
sim_01,sim_01_negative_008,negative,2024-12-29,40.210531,-84.619113
sim_01,sim_01_negative_009,negative,2024-12-30,40.131147,-84.969424
sim_01,sim_01_negative_010,negative,2024-12-30,40.181272,-84.509726
sim_01,sim_01_negative_011,negative,2025-01-03,40.997292,-84.820238
sim_01,sim_01_negative_012,negative,2025-01-04,40.493362,-85.019061
sim_01,sim_01_negative_013,negative,2025-01-05,40.491798,-85.281129
sim_01,sim_01_negative_014,negative,2025-01-06,40.133731,-84.877972
sim_01,sim_01_negative_015,negative,2025-01-06,40.749703,-84.551613
sim_01,sim_01_negative_016,negative,2025-01-09,40.809203,-85.034956
sim_01,sim_01_negative_017,negative,2025-01-10,40.836392,-85.031332
sim_01,sim_01_negative_018,negative,2025-01-11,40.688615,-84.559884
sim_01,sim_01_negative_019,negative,2025-01-12,40.389687,-85.076163
sim_01,sim_01_negative_020,negative,2025-01-12,40.13175,-84.528353
sim_01,sim_01_negative_021,negative,2025-01-13,40.684942,-85.188235
sim_01,sim_01_negative_022,negative,2025-01-14,40.304278,-84.983724
sim_01,sim_01_negative_023,negative,2025-01-14,40.780838,-84.511108
sim_01,sim_01_negative_024,negative,2025-01-16,39.807359,-84.704211
sim_01,sim_01_negative_025,negative,2025-01-17,40.337621,-84.535942
sim_01,sim_01_negative_026,negative,2025-01-17,40.62329,-84.329887
sim_01,sim_01_negative_027,negative,2025-01-18,40.00696,-84.904471
sim_01,sim_01_negative_028,negative,2025-01-19,40.379834,-84.459333
sim_01,sim_01_negative_029,negative,2025-01-19,40.312883,-84.832838
sim_01,sim_01_negative_030,negative,2025-01-21,40.649614,-84.338935
sim_01,sim_01_negative_031,negative,2025-01-21,40.84498,-84.478241
sim_01,sim_01_negative_032,negative,2025-01-21,39.857607,-84.382745
sim_01,sim_01_negative_033,negative,2025-01-21,40.564747,-84.319523
sim_01,sim_01_negative_034,negative,2025-01-22,40.529396,-84.476439
sim_01,sim_01_negative_035,negative,2025-01-22,40.828092,-85.198531
sim_01,sim_01_negative_036,negative,2025-01-24,40.958802,-84.661951
sim_01,sim_01_negative_037,negative,2025-01-28,40.746749,-84.862554
sim_01,sim_01_negative_038,negative,2025-01-28,40.349972,-85.106368
sim_01,sim_01_negative_039,negative,2025-01-29,40.562552,-84.584665
sim_01,sim_01_negative_040,negative,2025-01-29,40.109815,-84.371394
sim_01,sim_01_negative_041,negative,2025-01-30,39.928919,-84.703328
sim_01,sim_01_negative_042,negative,2025-01-30,40.206256,-84.379749
sim_01,sim_01_negative_043,negative,2025-02-01,40.176431,-84.89661
sim_01,sim_01_negative_044,negative,2025-02-01,39.979279,-84.783311
sim_01,sim_01_negative_045,negative,2025-02-01,40.916882,-84.687137
sim_01,sim_01_negative_046,negative,2025-02-02,39.98348,-84.732555
sim_01,sim_01_negative_047,negative,2025-02-02,40.385498,-84.736603
sim_01,sim_01_negative_048,negative,2025-02-02,39.798653,-84.854828
sim_01,sim_01_negative_049,negative,2025-02-02,40.411159,-84.311947
sim_01,sim_01_negative_050,negative,2025-02-03,40.641996,-84.363132
sim_01,sim_01_negative_051,negative,2025-02-04,39.926619,-84.388329
sim_01,sim_01_negative_052,negative,2025-02-04,40.387462,-84.648312
sim_01,sim_01_negative_053,negative,2025-02-04,40.015453,-84.385152
sim_01,sim_01_negative_054,negative,2025-02-05,40.397531,-84.266156
sim_01,sim_01_negative_055,negative,2025-02-08,40.954254,-85.121557
sim_01,sim_01_negative_056,negative,2025-02-08,40.492688,-84.869238
sim_01,sim_01_negative_057,negative,2025-02-08,40.137377,-84.352899
sim_01,sim_01_negative_058,negative,2025-02-11,40.150344,-84.788138
sim_01,sim_01_negative_059,negative,2025-02-13,40.17924,-84.294527
sim_01,sim_01_negative_060,negative,2025-02-16,40.339792,-85.212055
sim_01,sim_01_negative_061,negative,2025-02-17,40.624178,-85.053654
sim_01,sim_01_negative_062,negative,2025-02-18,39.867127,-84.640336
sim_01,sim_01_negative_063,negative,2025-02-18,39.855216,-84.818529
sim_01,sim_01_negative_064,negative,2025-02-18,40.229315,-85.157383
sim_01,sim_01_negative_065,negative,2025-02-18,40.772099,-84.772513
