facility_id,facility_name,latitude,longitude,notes
Barn04,Barn04,40.309935,-84.622625,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn05,Barn05,40.264976,-84.679302,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn06,Barn06,40.278006,-84.885235,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn07,Barn07,40.385234,-84.725775,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn08,Barn08,40.331577,-84.764212,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn09,Barn09,40.179491,-84.765240,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn10,Barn10,40.119491,-84.745240,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn11,Barn11,40.365300,-84.784100,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn12,Barn12,40.368975,-84.834711,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn13,Barn13,40.284661,-84.830899,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn15,Barn15,40.340353,-84.568916,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn16,Barn16,40.259731,-84.712070,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn17,Barn17,40.302119,-84.795728,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn18,Barn18,40.138538,-84.479711,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn19,Barn19,40.378674,-84.643540,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn20,Barn20,40.369888,-84.514310,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn21,Barn21,40.395234,-84.477498,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn22,Barn22,40.153364,-84.425128,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn23,Barn23,40.212205,-84.577777,Synthetic/fake location for EpiPlume 20-run Atlas test
Barn24,Barn24,40.428720,-84.871890,Synthetic/fake location for EpiPlume 20-run Atlas test
