run_id,source_facility_id,source_facility_name,source_latitude,source_longitude,release_datetime_utc,simulation_end_utc,duration_hours,expected_meteorology_file
Barn06__20250110T000000Z,Barn06,Barn06,40.278006,-84.885235,2025-01-10T00:00:00Z,2025-01-10T08:00:00Z,8,RP202501.gbl
Barn06__20250110T060000Z,Barn06,Barn06,40.278006,-84.885235,2025-01-10T06:00:00Z,2025-01-10T14:00:00Z,8,RP202501.gbl
Barn06__20250110T120000Z,Barn06,Barn06,40.278006,-84.885235,2025-01-10T12:00:00Z,2025-01-10T20:00:00Z,8,RP202501.gbl
Barn06__20250110T180000Z,Barn06,Barn06,40.278006,-84.885235,2025-01-10T18:00:00Z,2025-01-11T02:00:00Z,8,RP202501.gbl
Barn24__20250110T000000Z,Barn24,Barn24,40.428720,-84.871890,2025-01-10T00:00:00Z,2025-01-10T08:00:00Z,8,RP202501.gbl
Barn24__20250110T060000Z,Barn24,Barn24,40.428720,-84.871890,2025-01-10T06:00:00Z,2025-01-10T14:00:00Z,8,RP202501.gbl
Barn24__20250110T120000Z,Barn24,Barn24,40.428720,-84.871890,2025-01-10T12:00:00Z,2025-01-10T20:00:00Z,8,RP202501.gbl
Barn24__20250110T180000Z,Barn24,Barn24,40.428720,-84.871890,2025-01-10T18:00:00Z,2025-01-11T02:00:00Z,8,RP202501.gbl
Barn22__20250110T000000Z,Barn22,Barn22,40.153364,-84.425128,2025-01-10T00:00:00Z,2025-01-10T08:00:00Z,8,RP202501.gbl
Barn22__20250110T060000Z,Barn22,Barn22,40.153364,-84.425128,2025-01-10T06:00:00Z,2025-01-10T14:00:00Z,8,RP202501.gbl
Barn22__20250110T120000Z,Barn22,Barn22,40.153364,-84.425128,2025-01-10T12:00:00Z,2025-01-10T20:00:00Z,8,RP202501.gbl
Barn22__20250110T180000Z,Barn22,Barn22,40.153364,-84.425128,2025-01-10T18:00:00Z,2025-01-11T02:00:00Z,8,RP202501.gbl
Barn10__20250110T000000Z,Barn10,Barn10,40.119491,-84.745240,2025-01-10T00:00:00Z,2025-01-10T08:00:00Z,8,RP202501.gbl
Barn10__20250110T060000Z,Barn10,Barn10,40.119491,-84.745240,2025-01-10T06:00:00Z,2025-01-10T14:00:00Z,8,RP202501.gbl
Barn10__20250110T120000Z,Barn10,Barn10,40.119491,-84.745240,2025-01-10T12:00:00Z,2025-01-10T20:00:00Z,8,RP202501.gbl
Barn10__20250110T180000Z,Barn10,Barn10,40.119491,-84.745240,2025-01-10T18:00:00Z,2025-01-11T02:00:00Z,8,RP202501.gbl
Barn05__20250110T000000Z,Barn05,Barn05,40.264976,-84.679302,2025-01-10T00:00:00Z,2025-01-10T08:00:00Z,8,RP202501.gbl
Barn05__20250110T060000Z,Barn05,Barn05,40.264976,-84.679302,2025-01-10T06:00:00Z,2025-01-10T14:00:00Z,8,RP202501.gbl
Barn05__20250110T120000Z,Barn05,Barn05,40.264976,-84.679302,2025-01-10T12:00:00Z,2025-01-10T20:00:00Z,8,RP202501.gbl
Barn05__20250110T180000Z,Barn05,Barn05,40.264976,-84.679302,2025-01-10T18:00:00Z,2025-01-11T02:00:00Z,8,RP202501.gbl
